"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
79168.4,58683,88413.7,27106.6,21627,82140.6,2282.13,1521.48,1.865
91232.7,56281,106235,51383.3,35380,95179.6,2024.16,448.777,1.867
89892,61420,95916.1,43192.5,31637,89473.2,28814.9,3185,1.872
81636.2,58490,91470.5,39090.5,30398,84276.4,11812.1,3716.11,1.875
110915,71616,101499,62279.1,40588,100560,2793.75,1298.32,1.875
74923.8,56603,86748.2,32572,25339,84243.3,430.275,269.742,1.882
69752,46767,97745.6,27821,20978,86913.9,1442.66,562.235,1.886
88200.3,62006,93221.5,36573.4,28042,85474.5,932.16,481.179,1.888
67076.8,48669,90323.4,26522.3,20400,85204.3,10296.8,1448.34,1.895
80690.7,59706,88569.8,30191.5,23991,82473.7,1541.01,817.159,1.902
92854.5,63955,95149.9,40599,31023,85765.3,25055,3551.47,1.906
67338.3,48209,91540.6,29522.2,22749,85048.5,7368.27,2047.44,1.91
60753.6,46867,84954.2,28050.4,22919,80208.9,7122.51,3371.92,1.913
98607.7,69062,93573.2,43384.4,32298,88031.4,1792.74,922.612,1.913
113191,69146,107282,43633.2,28419,100621,5125.11,1945.82,1.916
94021.1,61909,99529.4,54895.6,36777,97823.1,6447.71,1796.28,1.918
77252.5,55704,90887.9,27564.4,21697,83258.6,1997.72,993.619,1.92
56168.6,44132,83410.3,25993.5,21464,79365.9,10131.1,3493.62,1.92
71506.9,53424,87718.5,36780.1,28684,84033.7,9485.33,2815.27,1.921
83733,59938,91553.4,54497,42446,84142.6,3964.7,2323.26,1.926
160681,94079,111932,103865,64171,106074,3768.38,1732.85,1.928
135025,77764,113793,117211,71036,108136,36767.6,2614.19,1.935
121443,82787,96137.3,40915.7,29415,91159.3,1288.64,577.085,1.942
86180.2,66544,84874.8,31508.1,23948,86224.9,1915.69,1289.36,1.952
68405.3,46187,97062.2,72646.9,55419,85908.9,10066.7,1934.37,1.954
72797.4,50147,95137.2,42352.4,31655,87683.1,6139.26,1359.05,1.956
92336.2,65924,91792.8,41452.3,30348,89515.6,1659.55,882.341,1.958
124207,79538,102341,53221.7,33782,103248,2534.78,879.633,1.965
68752.6,49228,91528.7,28548,21765,85960.1,9119.01,2287.94,1.965
63817.2,46220,90487.3,37780.1,29553,83780.2,9517.57,2740,1.966
74527.9,51652,94560.9,33339.5,26040,83907.1,2141.01,583.919,1.966
76670.3,56503,88927.4,38847.1,28335,89849.5,5892.96,2738.12,1.968
79534.8,58186,89581.5,28832.7,22567,83732,1720.89,571.757,1.977
81223.5,52686,101034,50888.8,35939,92797.4,37614.1,1832.39,1.982
99686.9,62554,104439,37153,24339,100039,4213.25,1109.01,1.985
113466,77546,95893.3,51415.3,34206,98507.6,6897.3,2395.68,1.985
80652,53861,98134.2,38156.8,26397,94732.2,23264.3,1900.11,1.99
60306,38969,101419,48893.5,33805,94787.3,1983.57,546.83,1.992
112675,79750,92593,33651.5,24642,89497.1,4712.93,1153.5,1.995
58688,43450,88519.5,27404.5,21619,83074.3,16013,1887.87,1.998
101332,65621,101201,59429.8,42057,92607.4,3693.37,996.687,2.002
105843,65195,106397,75984.5,51926,95900.3,3435.88,1000.41,2.022
83147,57094,95441.3,55512.6,39782,91450.2,2430.8,986.17,2.028
80271.2,57634,91276.9,31035.4,22582,90069,2040.27,524.566,2.03
125590,72909,112890,62978,37901,108898,718.514,316.893,2.032
78610.6,54382,94734,34585.2,26446,85705.8,2317.1,1075.75,2.042
75277.2,50533,97626.7,42914,28457,98830.3,29716.8,3757.34,2.046
76120.1,53194,93781.4,26829.7,20558,85529.2,2001.73,860.058,2.046
