"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
81917.4,52757,101760,42549,29677,93961.4,29044.6,9.22027,2.102
92688.1,51029,119038,50814.7,30325,109817,33838,-3.2849,2.103
118042,76158,101578,63274.4,41578,99734.2,32048.6,0.0127537,2.113
85458.2,62666,89372,35885.5,27822,84529.8,31201.6,-0.46155,2.131
128369,67994,123729,78732.4,43390,118917,34889.3,2.47597,2.132
120235,75379,104535,55027.4,35191,102477,43847.9,-9.77307,2.132
88005.7,59340,97194.9,51762.4,35589,95318.7,44140.2,0.277716,2.134
82077.7,44665,120431,106459,56425,123649,43110.5,2.46542,2.141
89338.8,62751,93303.8,38899.4,28354,89910.1,37409.6,-1.39974,2.144
120757,68282,115901,99042.8,48243,134545,30426,8.59944,2.155
139138,79445,114778,91500.2,50397,118986,63880.2,11.6998,2.157
136384,77442,115416,61571.6,36502,110546,43603.7,-7.10701,2.163
129400,73430,115489,116870,42830,178827,47482.3,7.47796,2.174
92083.9,52321,115342,93780.2,40173,152988,69657,2.83994,2.176
98368.3,67197,95936.8,54729.5,41197,87063.4,30604.1,-0.952266,2.183
79561.4,57543,90612.8,41603.6,30359,89809.8,44348.6,-6.09599,2.184
91402.2,66573,89978.4,45155,33888,87325.2,29796.7,2.81082,2.187
97948.8,69503,92358.2,59564.7,44914,86913.5,28680.4,8.18422,2.188
96640.8,60999,103829,48147.1,31911,98880.2,32209.1,7.9522,2.19
164388,103326,104265,89963.6,55002,107194,71003.1,12.2914,2.198
133724,84007,104321,55171,34295,105429,32552.8,19.5896,2.204
82688,53878,100580,42399.2,29406,94493.5,29595.6,-1.94595,2.21
118761,80830,96289.7,60045.2,40855,96319.2,31353.1,-8.42151,2.212
81350.4,57851,92157.1,57202.1,40118,93444.2,35379.3,-1.79624,2.225
81840.6,54487,98436.4,65292.2,46535,91952.1,46566.2,-7.3018,2.227
119990,68501,114797,82205.8,47209,114119,31613.3,2.69138,2.236
