sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
CH65_b_5_4	20	CH65	b	5	4	4.423169498457064	0.14458577340578874	4.0666712494846236	0.1936263757486691
CH65_b_6_1	21	CH65	b	6	1	2.3211312126028822	0.1708022266718529	3.5961798340346007	0.28247721798201253
CH65_b_6_2	22	CH65	b	6	2	3.226989491179732	0.272396762497175	3.674761457095915	0.3181365887901911
CH65_b_6_3	23	CH65	b	6	3	3.7822396251573327	0.11060142976919983	3.736371197716847	0.286113818290007
CH65_b_6_4	24	CH65	b	6	4	4.188267348356144	0.16221901394217364	4.001707887030232	0.22694381407580919
CH65_b_7_1	25	CH65	b	7	1	2.3192775354486383	0.16466683135859175	3.667687298817825	0.3062884001104747
CH65_b_7_2	26	CH65	b	7	2	2.8374889154401166	0.15249583741848902	3.729173945819877	0.3265165498379424
CH65_b_7_3	27	CH65	b	7	3	3.2834018958814633	0.11314521735197672	3.76601956018333	0.2969841940267577
CH65_b_7_4	28	CH65	b	7	4	3.7354588693425423	0.19464557342873887	3.963844619424958	0.2451336097797762
CH65_b_8_1	29	CH65	b	8	1	2.2910449429293442	0.1710581294758961	3.709452424207166	0.3223555019861256
CH65_b_8_2	30	CH65	b	8	2	2.6612730876463995	0.06064536070687699	3.7543964473242504	0.3120977970250995
CH65_b_8_3	31	CH65	b	8	3	2.882604403676808	0.07027923733494333	3.829030468055953	0.2764333809512704
CH65_b_8_4	32	CH65	b	8	4	3.23880156839212	0.18721263882383163	4.000357877636319	0.23689258810248995
CH65_b_9_1	33	CH65	b	9	1	2.2336241427973063	0.17071153483853874	3.7473930825702	0.30859538179185253
CH65_b_9_2	34	CH65	b	9	2	2.5911557363745783	0.019858615442728312	3.9123561601959866	0.24355785857737244
CH65_b_9_3	35	CH65	b	9	3	2.681610689234947	0.033829870290854026	3.984553483697502	0.2230751829248909
CH65_b_9_4	36	CH65	b	9	4	2.9064665367345444	0.18532051899525784	4.102484650499453	0.21478558335320608
CH65_b_0_1	37	CH65	b	0	1	2.0809141879360546	0.14902296779500343	3.7585713233179128	0.31160769960039186
CH65_b_0_2	38	CH65	b	0	2	2.588760556543719	0.022075736963831916	3.7504811881673485	0.35165708740196544
CH65_b_0_3	39	CH65	b	0	3	2.6640982724734537	0.033841427669779926	3.7088744361797064	0.26110782736772215
CH65_b_0_4	40	CH65	b	0	4	3.124522848903844	0.42082786772096864	3.569103282467174	0.4230131732028493
CH65_b_F_1	41	CH65	b	F	1	2.0579023058740176	0.12360692525999914	2.362658868890469	0.18829807142271868
CH65_b_F_2	42	CH65	b	F	2	2.1007440860353404	0.14451599472229273	2.9228903559565893	0.23026603489193814
CH65_b_F_3	43	CH65	b	F	3	2.084712815254108	0.13842371419282817	3.520291355636759	0.10365239124571986
CH65_b_F_4	44	CH65	b	F	4	2.091162690900191	0.13897094703167284	3.953188594782709	0.18271062143921563
CH65_d_1_1	46	CH65	d	1	1	2.366396789522098	0.13462878987235735	3.5794461986860147	0.30317994562061945
CH65_d_1_2	47	CH65	d	1	2	2.8689088624135777	0.1650478075810915	3.6620949552315083	0.33153041967062524
CH65_d_1_3	48	CH65	d	1	3	3.3674001758678154	0.12902616993345817	3.7014440230102084	0.3058425036151335
CH65_d_1_4	49	CH65	d	1	4	3.9561013006138768	0.2777757655357773	3.9087062113009123	0.259960791529754
CH65_d_2_1	50	CH65	d	2	1	2.3161926496099206	0.14526336721394587	3.644849498097612	0.3198275395006438
CH65_d_2_2	51	CH65	d	2	2	2.706098309211821	0.0898095884761846	3.7206103970403746	0.32458493571757646
CH65_d_2_3	52	CH65	d	2	3	3.0995033171374256	0.14669371829869204	3.7626212508080474	0.32458305220586625
CH65_d_2_4	53	CH65	d	2	4	3.8261258320202813	0.3092849049374014	3.8581968040600017	0.2740756559785751
CH65_d_3_1	54	CH65	d	3	1	2.2559457369237266	0.14961491603329458	3.697455702869957	0.3213404261987763
CH65_d_3_2	55	CH65	d	3	2	2.7294109088576017	0.11463966905114722	3.779285044013146	0.33284624004456287
CH65_d_3_3	56	CH65	d	3	3	3.280107554576584	0.1904680066762722	3.6770261951182004	0.3009046921991824
CH65_d_3_4	57	CH65	d	3	4	4.136130964144304	0.4548202326989574	3.9065828241811444	0.26248040789811034
CH65_d_4_1	58	CH65	d	4	1	2.206015656998369	0.14702547747600217	3.714327866186415	0.3225251519873274
CH65_d_4_2	59	CH65	d	4	2	2.8041894205886924	0.15121748783134298	3.711110947096968	0.3414232922228072
CH65_d_4_3	60	CH65	d	4	3	3.3690320147484507	0.16385525681352187	3.687866747760109	0.2869007313630135
CH65_d_4_4	61	CH65	d	4	4	4.009354746233944	0.2655368638603702	3.9034836813192495	0.2474333224048704
CH65_d_5_1	62	CH65	d	5	1	2.1506525460982244	0.17967112832892104	3.7253514564908277	0.32960655377398046
CH65_d_5_2	63	CH65	d	5	2	2.7333055778809525	0.1049802513584273	3.704554910576093	0.30470369815702747
CH65_d_5_3	64	CH65	d	5	3	3.137860438668349	0.12756400396956885	3.7535730070681783	0.27900935994168274
CH65_d_5_4	65	CH65	d	5	4	3.732192134375587	0.2693765931420156	3.943195939691439	0.23788545324561658
CH65_d_6_1	66	CH65	d	6	1	2.137493160256907	0.14220385140441463	3.7085921985213526	0.32267530854533394
CH65_d_6_2	67	CH65	d	6	2	2.672385024120517	0.07018460381584196	3.74122508902357	0.2774105823739095
CH65_d_6_3	68	CH65	d	6	3	2.9503299440481134	0.0956905016590773	3.8053347777702116	0.2574465155930059
CH65_d_6_4	69	CH65	d	6	4	3.5062883225909998	0.3002824463566333	3.93934883896319	0.25125750793257273
CH65_d_7_1	70	CH65	d	7	1	2.13660717393622	0.12536090488800863	3.7204097910299496	0.32287202088256994
CH65_d_7_2	71	CH65	d	7	2	2.623661336790452	0.0367197535639321	3.832214710546943	0.2674473750825525
CH65_d_7_3	72	CH65	d	7	3	2.7975901111267243	0.06676037759618124	3.8626023479712357	0.3011863626074684
CH65_d_7_4	73	CH65	d	7	4	3.198686591284539	0.22443651461640932	3.9975938574316427	0.27569771885862737
CH65_d_8_1	74	CH65	d	8	1	2.119485299106497	0.1204161280724612	3.720144854811316	0.3201700953907584
CH65_d_8_2	75	CH65	d	8	2	2.6058282428060537	0.026566139991186503	3.981364955915201	0.2925420570527703
CH65_d_8_3	76	CH65	d	8	3	2.7226319949753877	0.04426281442084693	4.068002428415802	0.21247029585716165
CH65_d_8_4	77	CH65	d	8	4	3.041087146589446	0.2706636400607722	4.118908964404751	0.22713795199876297
CH65_d_9_1	78	CH65	d	9	1	2.1021765468137823	0.12673697629447167	3.7229555896561455	0.32289865927584827
CH65_d_9_2	79	CH65	d	9	2	2.578380202544386	0.011465142138557727	3.863953993742376	0.43602176871093046
CH65_d_9_3	80	CH65	d	9	3	2.635668497033099	0.014216386708881545	4.016287811310377	0.3180284491399948
CH65_d_9_4	81	CH65	d	9	4	2.8378601134009602	0.2884867282162967	3.864918080272549	0.3809225445207931
CH65_d_0_1	82	CH65	d	0	1	2.107292996622532	0.10646898526666229	3.6962846217675502	0.3171812102488189
CH65_d_0_2	83	CH65	d	0	2	2.647675706338679	0.04426675175639227	3.471541976113846	0.40196870275103913
CH65_d_0_3	84	CH65	d	0	3	2.8635881171879336	0.06122187635884842	3.3827114157416562	0.2199366904053711
CH65_d_0_4	85	CH65	d	0	4	3.1305110100940596	0.18530623044013175	3.358098663393401	0.21038084013904101
CH65_d_F_1	86	CH65	d	F	1	2.098584393410552	0.09601088314139011	2.407338339053915	0.19065149706254408
CH65_d_F_2	87	CH65	d	F	2	2.1137618781563092	0.10373888766954398	2.9996936355008827	0.22760950294919274
CH65_d_F_3	88	CH65	d	F	3	2.1065310699675304	0.10295706966086289	3.594933761812733	0.12026063742366787
CH65_d_F_4	89	CH65	d	F	4	2.1157904565923147	0.10522779475506844	4.0369121372151	0.16899888397908835
CH65_e_1_1	1	CH65	e	1	1	2.306081173042841	0.13046237284285633	3.6117963187640494	0.3013501740193386
CH65_e_1_2	2	CH65	e	1	2	2.825032206971547	0.17430789643741754	3.7116860309720545	0.32997477893694904
CH65_e_1_3	3	CH65	e	1	3	3.3511410210682566	0.1346560669129376	3.7640767141832163	0.3007090299583972
CH65_e_1_4	4	CH65	e	1	4	3.9586561206627424	0.29413898400081095	3.9565427347615003	0.25029058470251647
CH65_e_2_1	5	CH65	e	2	1	2.2568319547516924	0.14804033787414625	3.7102610021544304	0.32352296741725295
CH65_e_2_2	6	CH65	e	2	2	2.650259232028457	0.09770283431528021	3.786724048909366	0.3133415254652435
CH65_e_2_3	7	CH65	e	2	3	3.0869175282759023	0.16251905520726836	3.8194732601960752	0.3170635745466417
CH65_e_2_4	8	CH65	e	2	4	3.8416166815770953	0.3054941594828622	3.9090353690236483	0.26376252964222163
CH65_e_3_1	9	CH65	e	3	1	2.194383599455747	0.16398443282504171	3.7548031910547084	0.3208943350353957
CH65_e_3_2	10	CH65	e	3	2	2.6737356566648174	0.13143677871514095	3.827799098666875	0.32613240531189147
CH65_e_3_3	11	CH65	e	3	3	3.3792777205003905	0.24555062212128642	3.717153338919203	0.2873594839940234
CH65_e_3_4	12	CH65	e	3	4	4.455054971852475	0.4683007400520173	3.963925395663842	0.25523481389920183
CH65_e_4_1	13	CH65	e	4	1	2.1592259310385735	0.15846165919562535	3.772515020854659	0.3225835816170669
CH65_e_4_2	14	CH65	e	4	2	2.7107536632510456	0.14885473235954014	3.770780918993359	0.340982911762257
CH65_e_4_3	15	CH65	e	4	3	3.2917641478566178	0.16484704789530383	3.7229879834147335	0.27513586278184105
CH65_e_4_4	16	CH65	e	4	4	3.942422380571934	0.25960525882551516	3.9452016027183268	0.23621888641720593
CH65_e_5_1	17	CH65	e	5	1	2.111265384900663	0.1474230601378019	3.770856604373354	0.32225343534389306
CH65_e_5_2	18	CH65	e	5	2	2.7296137071898827	0.14233635663885053	3.6961612564357185	0.3055814317142269
CH65_e_5_3	19	CH65	e	5	3	3.2335186295358946	0.14829185269541684	3.7661887074161906	0.2693673150538043
